cell_id	disease	study_id	donor_id	is_transition	entropy	transition_potential	fpi	is_transition_label
Cell000102	disease	Study02	Donor004	FALSE	0.747032590550763	0.144996024813024	0.892028615363787	Other cells
Cell000103	disease	Study02	Donor004	FALSE	0.838963196498185	0.0669364072510403	0.905899603749225	Other cells
Cell000104	disease	Study02	Donor004	FALSE	0.859991610123262	0.106584431641603	0.966576041764864	Other cells
Cell000105	disease	Study02	Donor004	FALSE	0.823203583831856	0.062539027806637	0.885742611638493	Other cells
Cell000106	disease	Study02	Donor004	FALSE	0.64556611421481	0.0334417231832281	0.679007837398038	Other cells
Cell000107	disease	Study02	Donor004	FALSE	0.740700940153487	0.0334221101821521	0.77412305033564	Other cells
Cell000108	disease	Study02	Donor004	FALSE	0.816980657297805	0.0757947009786889	0.892775358276494	Other cells
Cell000109	disease	Study02	Donor004	FALSE	0.847625440559802	0.0931317959776157	0.940757236537417	Other cells
Cell000110	disease	Study02	Donor004	FALSE	0.767143913603705	0.0434946382812754	0.81063855188498	Other cells
Cell000111	disease	Study02	Donor004	FALSE	0.871315461407233	0.0890226856815268	0.96033814708876	Other cells
Cell000112	disease	Study02	Donor004	FALSE	0.868060210174207	0.084922039436651	0.952982249610858	Other cells
Cell000113	disease	Study02	Donor004	FALSE	0.838988118343671	0.0566119773429367	0.895600095686608	Other cells
Cell000114	disease	Study02	Donor004	TRUE	0.730615966877849	0.204111356770085	0.934727323647934	Rare transition
Cell000115	disease	Study02	Donor004	FALSE	0.79601923221691	0.100189295468555	0.896208527685466	Other cells
Cell000116	disease	Study02	Donor004	FALSE	0.831581038690175	0.0666066456964039	0.898187684386579	Other cells
Cell000117	disease	Study02	Donor004	FALSE	0.784500051016116	0.0694590382874804	0.853959089303596	Other cells
Cell000118	disease	Study02	Donor004	FALSE	0.768702044599903	0.0541490308324704	0.822851075432373	Other cells
Cell000119	disease	Study02	Donor004	FALSE	0.780326301869126	0.0635259149093361	0.843852216778462	Other cells
Cell000120	disease	Study02	Donor004	FALSE	0.83831505147222	0.0916640106129696	0.92997906208519	Other cells
Cell000121	normal	Study02	Donor005	FALSE	0.488963201585944	0.446194897687399	0.935158099273343	Other cells
Cell000122	normal	Study02	Donor005	FALSE	0.720225391287975	0.35189571697584	1.07212110826382	Other cells
Cell000123	normal	Study02	Donor005	FALSE	0.670652721397675	0.371676074217308	1.04232879561498	Other cells
Cell000124	normal	Study02	Donor005	FALSE	0.710767644102506	0.351379830224208	1.06214747432671	Other cells
Cell000125	normal	Study02	Donor005	FALSE	0.388997794063727	0.477185390915982	0.866183184979709	Other cells
Cell000126	normal	Study02	Donor005	FALSE	0.53885118553924	0.426252644035984	0.965103829575223	Other cells
Cell000127	normal	Study02	Donor005	FALSE	0.730008898839005	0.343781249470209	1.07379014830921	Other cells
Cell000128	normal	Study02	Donor005	FALSE	0.631002172241602	0.389961584383252	1.02096375662485	Other cells
Cell000129	normal	Study02	Donor005	FALSE	0.797839127475255	0.308831833353998	1.10667096082925	Other cells
Cell000130	normal	Study02	Donor005	FALSE	0.787611483849893	0.312867447025467	1.10047893087536	Other cells
Cell000131	normal	Study02	Donor005	FALSE	0.794557758721353	0.309394072826089	1.10395183154744	Other cells
Cell000132	normal	Study02	Donor005	FALSE	0.508683589271855	0.437275861695902	0.945959450967757	Other cells
Cell000133	normal	Study02	Donor005	FALSE	0.564400010349485	0.418082057735544	0.982482068085029	Other cells
Cell000134	normal	Study02	Donor005	FALSE	0.582363578057508	0.409556602874699	0.991920180932207	Other cells
Cell000135	normal	Study02	Donor005	FALSE	0.630674429009937	0.384207478646134	1.01488190765607	Other cells
Cell000136	normal	Study02	Donor005	FALSE	0.612857971656971	0.397123682328814	1.00998165398579	Other cells
Cell000137	normal	Study02	Donor005	FALSE	0.599253169497413	0.400997045270185	1.0002502147676	Other cells
Cell000138	normal	Study02	Donor005	FALSE	0.607921228074548	0.397128418601255	1.0050496466758	Other cells
Cell000139	normal	Study02	Donor005	FALSE	0.786101133022998	0.314743859508808	1.10084499253181	Other cells
Cell000140	normal	Study02	Donor005	FALSE	0.651080524568033	0.377030357176289	1.02811088174432	Other cells
Cell000141	normal	Study02	Donor005	FALSE	0.764383116142659	0.325925438910849	1.09030855505351	Other cells
Cell000142	normal	Study02	Donor005	FALSE	0.642132396080517	0.384325607371151	1.02645800345167	Other cells
Cell000143	normal	Study02	Donor005	FALSE	0.367662304964626	0.483810649482148	0.851472954446774	Other cells
Cell000144	normal	Study02	Donor005	FALSE	0.553646963217173	0.421427218241071	0.975074181458243	Other cells
Cell000145	normal	Study02	Donor005	FALSE	0.750903111521752	0.320651254987111	1.07155436650886	Other cells
Cell000146	normal	Study02	Donor005	FALSE	0.637889287844479	0.38237241792681	1.02026170577129	Other cells
Cell000147	normal	Study02	Donor005	FALSE	0.586581479726729	0.407115738839363	0.993697218566092	Other cells
Cell000148	normal	Study02	Donor005	FALSE	0.394554884713868	0.476176596946058	0.870731481659926	Other cells
Cell000149	normal	Study02	Donor005	TRUE	0.730615966877849	0.204111356770085	0.934727323647934	Rare transition
Cell000150	normal	Study02	Donor005	FALSE	0.645440498891233	0.380138834179277	1.02557933307051	Other cells
Cell000151	disease	Study02	Donor006	FALSE	0.825710120601008	0.0507227707216535	0.876432891322661	Other cells
Cell000152	disease	Study02	Donor006	FALSE	0.774150573771657	0.0605669632888876	0.834717537060544	Other cells
Cell000153	disease	Study02	Donor006	FALSE	0.78187352508066	0.050136839810336	0.832010364890997	Other cells
Cell000154	disease	Study02	Donor006	FALSE	0.868509229489171	0.117593939892307	0.986103169381478	Other cells
Cell000155	disease	Study02	Donor006	FALSE	0.716949952983435	0.0451301714952266	0.762080124478662	Other cells
Cell000156	disease	Study02	Donor006	FALSE	0.817241446703802	0.0867618553388774	0.904003302042679	Other cells
Cell000157	disease	Study02	Donor006	FALSE	0.712131966147554	0.0664696427327004	0.778601608880255	Other cells
Cell000158	disease	Study02	Donor006	FALSE	0.729896510786073	0.0283121296376268	0.7582086404237	Other cells
Cell000159	disease	Study02	Donor006	FALSE	0.771331622280063	0.0589477803431121	0.830279402623175	Other cells
Cell000160	disease	Study02	Donor006	FALSE	0.795406660684855	0.091592635345415	0.88699929603027	Other cells
Cell000161	disease	Study02	Donor006	FALSE	0.842566881250889	0.0655668142657437	0.908133695516632	Other cells
Cell000162	disease	Study02	Donor006	FALSE	0.851896911842957	0.126531238910912	0.978428150753869	Other cells
Cell000163	disease	Study02	Donor006	FALSE	0.808196593759369	0.0649252024041875	0.873121796163556	Other cells
Cell000164	disease	Study02	Donor006	TRUE	0.730615966877849	0.204111356770085	0.934727323647934	Rare transition
Cell000165	disease	Study02	Donor006	FALSE	0.768269404476185	0.0441869219429096	0.812456326419095	Other cells
Cell000166	disease	Study02	Donor006	FALSE	0.858979500678164	0.100900733489124	0.959880234167288	Other cells
Cell000167	disease	Study02	Donor006	FALSE	0.73586612210222	0.0318914006675086	0.767757522769729	Other cells
Cell000168	disease	Study02	Donor006	FALSE	0.829285865135188	0.081532503313775	0.910818368448963	Other cells
Cell000169	disease	Study02	Donor006	FALSE	0.884256351364932	0.0513943983701173	0.935650749735049	Other cells
Cell000170	disease	Study02	Donor006	FALSE	0.851799696325411	0.105454458315611	0.957254154641021	Other cells
Cell000171	disease	Study02	Donor006	FALSE	0.872489269174319	0.158206296246485	1.0306955654208	Other cells
Cell000172	disease	Study02	Donor006	FALSE	0.84999088935021	0.0994694531441829	0.949460342494393	Other cells
Cell000173	disease	Study02	Donor006	FALSE	0.776844815435499	0.0631330643839688	0.839977879819468	Other cells
Cell000174	disease	Study02	Donor006	FALSE	0.837634231245242	0.0837977368871189	0.921431968132361	Other cells
Cell000175	disease	Study02	Donor006	FALSE	0.770237315018424	0.0486360415671201	0.818873356585544	Other cells
Cell000176	disease	Study02	Donor006	FALSE	0.833110670289274	0.0830951268169363	0.91620579710621	Other cells
Cell000177	disease	Study02	Donor006	FALSE	0.722339630686835	0.0516625081186985	0.774002138805534	Other cells
Cell000178	disease	Study02	Donor006	FALSE	0.710700525685438	0.0471330081302442	0.757833533815683	Other cells
Cell000179	disease	Study02	Donor006	FALSE	0.841464769989602	0.092666408517349	0.93413117850695	Other cells
Cell000180	disease	Study02	Donor006	FALSE	0.784759328921851	0.0662263327588041	0.850985661680655	Other cells
