cell_id	condition	condition_label	metric	value
Cell000067	normal	Normal	Entropy	0.643228426739304
Cell000068	normal	Normal	Entropy	0.584528466331843
Cell000069	normal	Normal	Entropy	0.472841030856098
Cell000070	normal	Normal	Entropy	0.420269513317884
Cell000071	normal	Normal	Entropy	0.522823384277215
Cell000072	normal	Normal	Entropy	0.418904122774234
Cell000073	normal	Normal	Entropy	0.852551807591683
Cell000074	normal	Normal	Entropy	0.586129894111566
Cell000075	normal	Normal	Entropy	0.473227455333705
Cell000076	normal	Normal	Entropy	0.742248316667021
Cell000077	normal	Normal	Entropy	0.479996646628898
Cell000078	normal	Normal	Entropy	0.277120752497898
Cell000079	normal	Normal	Entropy	0.650372780899784
Cell000080	normal	Normal	Entropy	0.63714828274307
Cell000081	normal	Normal	Entropy	0.57835201118357
Cell000082	normal	Normal	Entropy	0.483177590397886
Cell000083	normal	Normal	Entropy	0.445977380734716
Cell000084	normal	Normal	Entropy	0.691541841437115
Cell000085	normal	Normal	Entropy	0.483181481205576
Cell000086	normal	Normal	Entropy	0.730615966877849
Cell000087	normal	Normal	Entropy	0.429393693176149
Cell000088	normal	Normal	Entropy	0.530116733825952
Cell000089	normal	Normal	Entropy	0.559604877612182
Cell000090	normal	Normal	Entropy	0.525398378677029
Cell000091	disease	Disease	Entropy	0.777405913738586
Cell000092	disease	Disease	Entropy	0.783335888081779
Cell000093	disease	Disease	Entropy	0.818329502109129
Cell000094	disease	Disease	Entropy	0.725900826552588
Cell000095	disease	Disease	Entropy	0.783498159320946
Cell000096	disease	Disease	Entropy	0.846620205028428
Cell000097	disease	Disease	Entropy	0.731928110462284
Cell000098	disease	Disease	Entropy	0.817790909130112
Cell000099	disease	Disease	Entropy	0.76424078413507
Cell000100	disease	Disease	Entropy	0.875094587500383
Cell000101	disease	Disease	Entropy	0.824728358587735
Cell000102	disease	Disease	Entropy	0.747032590550763
Cell000103	disease	Disease	Entropy	0.838963196498185
Cell000104	disease	Disease	Entropy	0.859991610123262
Cell000105	disease	Disease	Entropy	0.823203583831856
Cell000106	disease	Disease	Entropy	0.64556611421481
Cell000107	disease	Disease	Entropy	0.740700940153487
Cell000108	disease	Disease	Entropy	0.816980657297805
Cell000109	disease	Disease	Entropy	0.847625440559802
Cell000110	disease	Disease	Entropy	0.767143913603705
Cell000111	disease	Disease	Entropy	0.871315461407233
Cell000112	disease	Disease	Entropy	0.868060210174207
Cell000113	disease	Disease	Entropy	0.838988118343671
Cell000114	disease	Disease	Entropy	0.730615966877849
Cell000115	disease	Disease	Entropy	0.79601923221691
Cell000116	disease	Disease	Entropy	0.831581038690175
Cell000117	disease	Disease	Entropy	0.784500051016116
Cell000118	disease	Disease	Entropy	0.768702044599903
Cell000119	disease	Disease	Entropy	0.780326301869126
Cell000120	disease	Disease	Entropy	0.83831505147222
Cell000121	normal	Normal	Entropy	0.488963201585944
Cell000122	normal	Normal	Entropy	0.720225391287975
Cell000123	normal	Normal	Entropy	0.670652721397675
Cell000124	normal	Normal	Entropy	0.710767644102506
Cell000125	normal	Normal	Entropy	0.388997794063727
Cell000126	normal	Normal	Entropy	0.53885118553924
Cell000127	normal	Normal	Entropy	0.730008898839005
Cell000128	normal	Normal	Entropy	0.631002172241602
Cell000129	normal	Normal	Entropy	0.797839127475255
Cell000130	normal	Normal	Entropy	0.787611483849893
Cell000131	normal	Normal	Entropy	0.794557758721353
Cell000132	normal	Normal	Entropy	0.508683589271855
Cell000133	normal	Normal	Entropy	0.564400010349485
Cell000134	normal	Normal	Entropy	0.582363578057508
Cell000135	normal	Normal	Entropy	0.630674429009937
Cell000136	normal	Normal	Entropy	0.612857971656971
Cell000137	normal	Normal	Entropy	0.599253169497413
Cell000138	normal	Normal	Entropy	0.607921228074548
Cell000139	normal	Normal	Entropy	0.786101133022998
Cell000140	normal	Normal	Entropy	0.651080524568033
Cell000141	normal	Normal	Entropy	0.764383116142659
Cell000142	normal	Normal	Entropy	0.642132396080517
Cell000143	normal	Normal	Entropy	0.367662304964626
Cell000144	normal	Normal	Entropy	0.553646963217173
Cell000145	normal	Normal	Entropy	0.750903111521752
Cell000146	normal	Normal	Entropy	0.637889287844479
Cell000147	normal	Normal	Entropy	0.586581479726729
Cell000148	normal	Normal	Entropy	0.394554884713868
Cell000149	normal	Normal	Entropy	0.730615966877849
Cell000150	normal	Normal	Entropy	0.645440498891233
Cell000151	disease	Disease	Entropy	0.825710120601008
Cell000152	disease	Disease	Entropy	0.774150573771657
Cell000153	disease	Disease	Entropy	0.78187352508066
Cell000154	disease	Disease	Entropy	0.868509229489171
Cell000155	disease	Disease	Entropy	0.716949952983435
Cell000156	disease	Disease	Entropy	0.817241446703802
Cell000157	disease	Disease	Entropy	0.712131966147554
Cell000158	disease	Disease	Entropy	0.729896510786073
Cell000159	disease	Disease	Entropy	0.771331622280063
Cell000160	disease	Disease	Entropy	0.795406660684855
Cell000161	disease	Disease	Entropy	0.842566881250889
Cell000162	disease	Disease	Entropy	0.851896911842957
Cell000163	disease	Disease	Entropy	0.808196593759369
Cell000164	disease	Disease	Entropy	0.730615966877849
Cell000165	disease	Disease	Entropy	0.768269404476185
Cell000166	disease	Disease	Entropy	0.858979500678164
Cell000167	disease	Disease	Entropy	0.73586612210222
Cell000168	disease	Disease	Entropy	0.829285865135188
Cell000169	disease	Disease	Entropy	0.884256351364932
Cell000170	disease	Disease	Entropy	0.851799696325411
Cell000171	disease	Disease	Entropy	0.872489269174319
Cell000172	disease	Disease	Entropy	0.84999088935021
Cell000173	disease	Disease	Entropy	0.776844815435499
Cell000174	disease	Disease	Entropy	0.837634231245242
Cell000175	disease	Disease	Entropy	0.770237315018424
Cell000176	disease	Disease	Entropy	0.833110670289274
Cell000177	disease	Disease	Entropy	0.722339630686835
Cell000178	disease	Disease	Entropy	0.710700525685438
Cell000179	disease	Disease	Entropy	0.841464769989602
Cell000180	disease	Disease	Entropy	0.784759328921851
Cell000001	normal	Normal	Transition
potential	0.410882922556058
Cell000002	normal	Normal	Transition
potential	0.371262075203924
Cell000003	normal	Normal	Transition
potential	0.458466080586604
Cell000004	normal	Normal	Transition
potential	0.372528780757891
Cell000005	normal	Normal	Transition
potential	0.452293432224001
Cell000006	normal	Normal	Transition
potential	0.341697635713512
Cell000007	normal	Normal	Transition
potential	0.46096732380013
Cell000008	normal	Normal	Transition
potential	0.441764210468467
Cell000009	normal	Normal	Transition
potential	0.473052674198333
Cell000010	normal	Normal	Transition
potential	0.425126406630576
Cell000011	normal	Normal	Transition
potential	0.344040450501053
Cell000012	normal	Normal	Transition
potential	0.469957747264056
Cell000013	normal	Normal	Transition
potential	0.395153682658172
Cell000014	normal	Normal	Transition
potential	0.444547612561198
Cell000015	normal	Normal	Transition
potential	0.477444835395353
Cell000016	normal	Normal	Transition
potential	0.204111356770085
Cell000017	normal	Normal	Transition
potential	0.407027898231725
Cell000018	normal	Normal	Transition
potential	0.440722116235961
Cell000019	normal	Normal	Transition
potential	0.383758684134269
Cell000020	normal	Normal	Transition
potential	0.366548881770929
Cell000021	normal	Normal	Transition
potential	0.385226879867154
Cell000022	normal	Normal	Transition
potential	0.464193362862862
Cell000023	normal	Normal	Transition
potential	0.423112514320481
Cell000024	normal	Normal	Transition
potential	0.382880330639585
Cell000025	normal	Normal	Transition
potential	0.477876511767078
Cell000026	normal	Normal	Transition
potential	0.476398077522189
Cell000027	normal	Normal	Transition
potential	0.469285200600965
Cell000028	normal	Normal	Transition
potential	0.452702892042082
Cell000029	normal	Normal	Transition
potential	0.32330976771044
Cell000030	normal	Normal	Transition
potential	0.396468055834726
Cell000031	disease	Disease	Transition
potential	0.0801350909489748
Cell000032	disease	Disease	Transition
potential	0.0554235940278072
Cell000033	disease	Disease	Transition
potential	0.0781454412335149
Cell000034	disease	Disease	Transition
potential	0.0820099422128122
Cell000035	disease	Disease	Transition
potential	0.0506262827215117
Cell000036	disease	Disease	Transition
potential	0.0957259748670361
Cell000037	disease	Disease	Transition
potential	0.104427017400554
Cell000038	disease	Disease	Transition
potential	0.057272871498542
