scenario	replicate	seed	method	rmse	mean_absolute_error	dominant_accuracy	mean_entropy_true	mean_entropy_pred	nb_initial_objective	nb_final_objective	nb_best_objective	nb_objective_improvement	nb_best_iteration	nb_executed_iterations	nb_stop_reason	nb_any_rollback	nb_rollback_count	nb_study_effect_l2_norm	nb_donor_effect_l2_norm	vi_best_elbo	vi_interval_coverage	vi_mean_interval_width	vi_median_interval_width	vi_posterior_mae	vi_n_interval_rows	vi_calibrated_interval_scale	vi_calibrated_interval_coverage	vi_calibrated_mean_interval_width	downstream_status	downstream_label_col	downstream_group_col	downstream_n_observations	downstream_n_evaluated	downstream_n_classes	downstream_n_folds	downstream_accuracy	downstream_balanced_accuracy	downstream_macro_f1	downstream_macro_auroc	nb_n_outer	scenario_label	method_label	nb_n_outer_factor	pair_id
batch_confounding	1	21060	fibrodynmix_nb_study	0.236448188967272	0.172669760050888	0.28125	1.29537456606084	1.13346830649457	1.36146129398251	1.24315187269795	1.24315187269795	0.118309421284557	10	10	max_iterations	FALSE	0	1.71807557628509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ok	disease	donor_id	32	32	2	2	0.625	0.625	0.623529411764706	0.5703125	10	Batch confounding	FibroDynMix NB + study	10	batch_confounding.fibrodynmix_nb_study.1
batch_confounding	1	21060	fibrodynmix_nb_study	0.254965025056866	0.184045051487028	0.15625	1.29537456606084	1.07250547735286	1.36146129398251	1.23917551053733	1.23917551053733	0.122285783445181	20	20	max_iterations	FALSE	0	1.89876724049866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ok	disease	donor_id	32	32	2	2	0.53125	0.53125	0.527093596059113	0.53515625	20	Batch confounding	FibroDynMix NB + study	20	batch_confounding.fibrodynmix_nb_study.1
batch_confounding	2	21061	fibrodynmix_nb_study	0.261872867106019	0.191966067511211	0.15625	1.26693177694244	1.14824536205952	1.25915031912978	1.14613967718086	1.14613967718086	0.113010641948916	10	10	max_iterations	FALSE	0	1.81226195924986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ok	disease	donor_id	32	32	2	2	0.5625	0.5625	0.5625	0.5390625	10	Batch confounding	FibroDynMix NB + study	10	batch_confounding.fibrodynmix_nb_study.2
batch_confounding	2	21061	fibrodynmix_nb_study	0.271772968922198	0.196423875111728	0.1875	1.26693177694244	1.09264861897088	1.25915031912978	1.13975087451743	1.13975087451743	0.119399444612343	20	20	max_iterations	FALSE	0	1.824951071412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ok	disease	donor_id	32	32	2	2	0.53125	0.53125	0.530791788856305	0.541015625	20	Batch confounding	FibroDynMix NB + study	20	batch_confounding.fibrodynmix_nb_study.2
rare_transition	1	31060	fibrodynmix_nb	0.216037247731733	0.158624526805859	0.25	1.25974381675993	1.15713842578576	1.32086516651615	1.21330639221439	1.21330639221439	0.107558774301767	10	10	max_iterations	FALSE	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ok	disease	donor_id	32	32	2	2	0.75	0.75	0.746031746031746	0.658203125	10	Rare transition	FibroDynMix NB	10	rare_transition.fibrodynmix_nb.1
rare_transition	1	31060	fibrodynmix_nb	0.224519232111153	0.166086572500084	0.1875	1.25974381675993	1.13701315315223	1.32086516651615	1.21117297479827	1.21117297479827	0.109692191717879	20	20	max_iterations	FALSE	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ok	disease	donor_id	32	32	2	2	0.6875	0.6875	0.682539682539683	0.65234375	20	Rare transition	FibroDynMix NB	20	rare_transition.fibrodynmix_nb.1
rare_transition	2	31061	fibrodynmix_nb	0.224298626256127	0.163885486777509	0.3125	1.22985191372346	1.24282804262713	1.39833075800173	1.29269267594545	1.29269267594545	0.105638082056273	10	10	max_iterations	FALSE	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ok	disease	donor_id	32	32	2	2	0.5	0.5	0.492063492063492	0.45703125	10	Rare transition	FibroDynMix NB	10	rare_transition.fibrodynmix_nb.2
rare_transition	2	31061	fibrodynmix_nb	0.240386770273062	0.169583251698974	0.28125	1.22985191372346	1.1229725129938	1.39833075800173	1.28866241380822	1.28866241380822	0.109668344193504	20	20	max_iterations	FALSE	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ok	disease	donor_id	32	32	2	2	0.53125	0.53125	0.527093596059113	0.455078125	20	Rare transition	FibroDynMix NB	20	rare_transition.fibrodynmix_nb.2
rare_transition	1	31060	fibrodynmix_nb_study	0.21460098768314	0.157988057822518	0.25	1.25974381675993	1.14894389989296	1.3208642201554	1.20427075319617	1.20427075319617	0.116593466959231	10	10	max_iterations	FALSE	0	1.69492798430157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ok	disease	donor_id	32	32	2	2	0.6875	0.6875	0.682539682539683	0.63671875	10	Rare transition	FibroDynMix NB + study	10	rare_transition.fibrodynmix_nb_study.1
rare_transition	1	31060	fibrodynmix_nb_study	0.222072745567244	0.166256302242393	0.25	1.25974381675993	1.11588350312431	1.3208642201554	1.20256138295058	1.20256138295058	0.118302837204819	20	20	max_iterations	FALSE	0	1.70235363412983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ok	disease	donor_id	32	32	2	2	0.71875	0.71875	0.716256157635468	0.6484375	20	Rare transition	FibroDynMix NB + study	20	rare_transition.fibrodynmix_nb_study.1
rare_transition	2	31061	fibrodynmix_nb_study	0.222520415385554	0.163195231915749	0.34375	1.22985191372346	1.2545798947376	1.39833560881739	1.28185965716508	1.28185965716508	0.116475951652314	10	10	max_iterations	FALSE	0	1.67107134969087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ok	disease	donor_id	32	32	2	2	0.6875	0.6875	0.682539682539683	0.568359375	10	Rare transition	FibroDynMix NB + study	10	rare_transition.fibrodynmix_nb_study.2
rare_transition	2	31061	fibrodynmix_nb_study	0.235079043690362	0.165429305227881	0.34375	1.22985191372346	1.1511123586097	1.39833560881739	1.27730458152978	1.27730458152978	0.121031027287608	20	20	max_iterations	FALSE	0	1.68435618876557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ok	disease	donor_id	32	32	2	2	0.6875	0.6875	0.682539682539683	0.5703125	20	Rare transition	FibroDynMix NB + study	20	rare_transition.fibrodynmix_nb_study.2
