cell_id	state	mean	sd	lower	upper
Cell000008	ECM-remodeling	0.170992832349381	0.0456761111874198	0.12133611525319	0.243848744926752
Cell000009	ECM-remodeling	0.279721739648921	0.0345460810308734	0.245513385033968	0.33576750895472
Cell000010	ECM-remodeling	0.141482657548016	0.0793029475126234	0.0700391201418355	0.232081390208601
Cell000011	ECM-remodeling	0.144099468584036	0.0251355700105359	0.119346136893021	0.175101387256868
Cell000012	ECM-remodeling	0.101568585652534	0.0590402134638933	0.0275166401434084	0.148114737165319
Cell000013	ECM-remodeling	0.169188262678991	0.0255502159142905	0.136376870070086	0.204862494095871
Cell000014	ECM-remodeling	0.147295098848236	0.0108807918883462	0.137205505139246	0.161173547646689
Cell000015	ECM-remodeling	0.182242027054957	0.0302177423819696	0.154968963752671	0.22484414658942
Cell000016	ECM-remodeling	0.0294470026753678	0.0352978381001494	0.00606207079797626	0.0769246571989297
Cell000017	ECM-remodeling	0.043559272867397	0.0669553406611309	0.00277912353435616	0.115148023671195
Cell000018	ECM-remodeling	0.0551873961553296	0.0229448487718906	0.0397741609034211	0.0706006314072381
Cell000019	ECM-remodeling	0.0833115078206227	0.0295158766394935	0.05014807045132	0.114782134676963
Cell000020	ECM-remodeling	0.203175352134142	0.123625028292259	0.120130061095799	0.286220643172486
Cell000021	ECM-remodeling	0.0599681135525254	0.0305004919359977	0.0384481021126689	0.107300481198367
Cell000022	ECM-remodeling	0.127563382117502	0.0368068138566694	0.058012483111144	0.165714381897108
Cell000023	ECM-remodeling	0.0961009077681287	0.0428776977407426	0.0636845880153558	0.162332141129541
Cell000024	ECM-remodeling	0.174775888419876	0.0307778255902616	0.142608535507131	0.22435164892601
Cell000025	ECM-remodeling	0.253140192122059	0.0536369228189788	0.183902851284241	0.316057667815822
Cell000026	ECM-remodeling	0.510036891142054	0.101561484083761	0.337619511415188	0.586108077851629
Cell000027	ECM-remodeling	0.160454140113012	0.0122243227931756	0.145303124017497	0.175886449681828
Cell000028	ECM-remodeling	0.297329985461411	0.0398579288379666	0.235615672421545	0.338149245219892
Cell000029	ECM-remodeling	0.0631258135022926	0.0253710484440887	0.0272814841349358	0.0911182023178709
Cell000030	ECM-remodeling	0.172660001388152	0.0329850512739934	0.108613282287783	0.192428183488573
Cell000031	ECM-remodeling	0.167670141623375	0.0217925438674147	0.147203985702186	0.196544008172683
Cell000032	ECM-remodeling	0.126769804174979	0.0658195265124395	0.0438817322170389	0.19286928674253
Cell000033	ECM-remodeling	0.43839387021327	0.0995101790459257	0.252040805490643	0.526678192603581
Cell000034	ECM-remodeling	0.241517601797934	0.10756405975774	0.133295894991046	0.368429677161303
Cell000035	ECM-remodeling	0.421307214165869	0.0580123125372574	0.384036402776838	0.483314615991792
Cell000036	ECM-remodeling	0.136894161311132	0.0250720109288068	0.106433038229068	0.16313352126658
Cell000037	ECM-remodeling	0.1699579078194	0.0210936484866641	0.137945543498478	0.188254510330821
Cell000038	ECM-remodeling	0.0839038162099943	0.0315129059989772	0.0493578810068885	0.11493219661773
Cell000039	ECM-remodeling	0.0642141991112551	0.0340795922790225	0.0168159970977206	0.103096647945751
Cell000040	ECM-remodeling	0.1312881426403	0.00811943405902701	0.124262803046921	0.139513748775501
Cell000001	antigen-presenting	0.203621034363201	0.0111593760467942	0.191625381887992	0.215405239903448
Cell000002	antigen-presenting	0.0371976982006609	0.0196936006979117	0.00787853049079807	0.0534080408858255
Cell000003	antigen-presenting	0.114575174297065	0.0328511308868561	0.0675226573546692	0.149377479273204
Cell000004	antigen-presenting	0.186441031238818	0.0222268213584329	0.166222965556035	0.208997158296371
Cell000005	antigen-presenting	0.170352226208437	0.0236810592110261	0.155580468963717	0.211345856464841
Cell000006	antigen-presenting	0.0325176754885918	0.020711818438537	0.0112856376807937	0.052355826471922
Cell000007	antigen-presenting	0.2136972799225	0.0545486828396956	0.143057779913721	0.283009484333169
Cell000008	antigen-presenting	0.160254948004734	0.043773586539647	0.106976803892431	0.209725649747739
Cell000009	antigen-presenting	0.153736199650307	0.0142450131415734	0.136396799731358	0.170213270902163
Cell000010	antigen-presenting	0.194446044468526	0.0635510994461267	0.124151489486201	0.251908725051791
Cell000011	antigen-presenting	0.160190847099285	0.039868522445594	0.105711900217303	0.207837235245733
Cell000012	antigen-presenting	0.0565435655173979	0.0353201504874251	0.030309938044155	0.103732074299472
Cell000013	antigen-presenting	0.353126951585827	0.0282014053720108	0.29354449352375	0.365048552335021
Cell000014	antigen-presenting	0.0327162465014455	0.0327386692496699	0.00629199963879104	0.0846942692879358
Cell000015	antigen-presenting	0.241856557311348	0.128198065991773	0.154735058570645	0.428634278885353
Cell000016	antigen-presenting	0.173220207876186	0.0514936121229237	0.106569691914516	0.218520367296051
Cell000017	antigen-presenting	0.0965451504044143	0.0921553557957932	0.00740710352931154	0.182385897012273
Cell000018	antigen-presenting	0.16033847428928	0.00989747894585916	0.153689828533975	0.166987120044585
Cell000019	antigen-presenting	0.048528401152356	0.0301591706049178	0.0202591736527757	0.0824014961857326
Cell000020	antigen-presenting	0.113386618882398	0.0573076500792586	0.0748901222967338	0.151883115468062
Cell000021	antigen-presenting	0.0475841327397432	0.0451552162550977	0.0117011653942645	0.114870336315363
Cell000022	antigen-presenting	0.0792627184452654	0.0288657985263671	0.0441012066147727	0.131159839898347
Cell000023	antigen-presenting	0.142710235634028	0.0348312833199603	0.0921885929346404	0.167227810254639
Cell000024	antigen-presenting	0.0409764195312478	0.036561834768573	0.00424986324196899	0.0867355590915744
Cell000025	antigen-presenting	0.166556010010535	0.0538484514569077	0.106356822455811	0.228189880441753
Cell000026	antigen-presenting	0.0640822603379896	0.0430391114329007	0.0283879921557461	0.150978881192991
Cell000027	antigen-presenting	0.250299824816967	0.0353043887041431	0.208937324834618	0.290862190068919
Cell000028	antigen-presenting	0.202946652713999	0.0289243505891262	0.15801723398278	0.234698062216259
Cell000029	antigen-presenting	0.166055098699399	0.0606287379646983	0.100301265756041	0.220151196934832
Cell000030	antigen-presenting	0.0996895581322054	0.0282199159474625	0.0457589591640225	0.129335890493546
Cell000031	antigen-presenting	0.08950546642101	0.0284949995315457	0.0478903702011956	0.118905057002539
Cell000032	antigen-presenting	0.199523919287473	0.0423901462413944	0.160539886121177	0.261175214725924
Cell000033	antigen-presenting	0.0171560554134001	0.0206963103178314	0.00380353912299412	0.0614300632828469
Cell000034	antigen-presenting	0.0608397210549062	0.0348020236263346	0.0251990291694433	0.109196257911563
Cell000035	antigen-presenting	0.100190616841744	0.0635819698583293	0.0322047726456255	0.139370463534403
Cell000036	antigen-presenting	0.0558337132700279	0.0324956419946591	0.0164274920421289	0.0868184939268549
Cell000037	antigen-presenting	0.0073809466502076	0.00328143492097096	0.00401865427024112	0.010993046183607
Cell000038	antigen-presenting	0.0305939870835724	0.0225357593463704	0.00862202486978145	0.0638813010515738
