state	gene	mean	sd	lower	upper
inflammatory	Gene0034	0.693012404732535	0.309996099103314	0.300871085757838	1.13947252699987
inflammatory	Gene0035	1.50903824819306	1.30452737705961	0.458127976311072	3.69628965363677
inflammatory	Gene0036	0.616543320732316	0.448166245221795	0.10691357606582	1.23657139830974
inflammatory	Gene0037	0.772371506165213	0.877196640323041	0.0513151543940228	2.24138214499429
inflammatory	Gene0038	2.24890492689058	1.1117305595193	0.717314301938738	3.79777684839616
inflammatory	Gene0039	2.73525269750171	1.14500071414495	1.14345145912379	3.92084584831522
inflammatory	Gene0040	0.750939481581244	0.817346389394093	0.00353947634914613	1.78380439399739
inflammatory	Gene0041	1.17883983539355	0.469047592322546	0.614060562853306	1.76934177849614
inflammatory	Gene0042	1.04049551335441	0.693723834158236	0.49196450219026	2.20656578786882
inflammatory	Gene0043	1.91561832666995	1.13095418018753	0.450815573514589	3.01485399353159
inflammatory	Gene0044	1.02105280420568	1.00027853391408	0.116447202692784	2.58085740426597
inflammatory	Gene0045	1.50865957712116	0.668012720380251	0.598857781030081	2.23406541969576
inflammatory	Gene0046	2.21082918985974	0.804103080545416	1.33057584206944	3.39737122928051
inflammatory	Gene0047	1.17688229848181	0.649690549726458	0.382785438945644	1.92249227382011
inflammatory	Gene0048	0.912462473880914	0.590750171265026	0.272247119196805	1.81828476926059
inflammatory	Gene0049	1.04336940664741	0.41394716489058	0.46299497376622	1.51146229425071
inflammatory	Gene0050	1.54062526955904	0.55523154223723	0.795053928445719	2.12602114275479
inflammatory	Gene0051	1.8379671315825	0.776951358360534	0.638965684510405	2.76802846580891
inflammatory	Gene0052	1.45153585782601	0.571078397004937	0.779617399467498	2.31588952137711
inflammatory	Gene0053	3.85238479788349	0.796340819009925	2.98785663616472	5.01952054488919
inflammatory	Gene0054	1.24123344160923	0.96723481497296	0.209895414474625	2.81124226130011
inflammatory	Gene0055	0.89787089144859	0.741266803279649	0.178481850814018	2.04089121852841
inflammatory	Gene0056	1.21441425404894	0.759182933064299	0.259832513411607	2.1267046139593
inflammatory	Gene0057	0.766473263826913	0.277399707170385	0.349998812558112	1.03510770695639
inflammatory	Gene0058	0.5291391762535	0.608312633319226	0.0342126480688545	1.54756362881199
inflammatory	Gene0059	1.50616479947118	0.939255901567606	0.483745894980228	2.91535706600813
inflammatory	Gene0060	0.808960723127885	0.407574958883398	0.240346016077487	1.35060827620354
inflammatory	Gene0061	0.793236835645617	0.47076038082346	0.32579521758048	1.54229092577225
inflammatory	Gene0062	1.17397958247372	0.661175260799056	0.599226582669044	2.25480980432259
inflammatory	Gene0063	0.910974355322968	0.923740117086931	0.29908340242377	2.51524633062796
inflammatory	Gene0064	0.807359509579766	0.758266710058574	0.0378217463783957	1.80246384161858
inflammatory	Gene0065	1.10852673656185	0.584872702789261	0.374025331739187	1.72027405875938
inflammatory	Gene0066	1.38117872980589	0.475712515056323	0.901465046585341	2.00076985803969
inflammatory	Gene0067	0.682115483716886	0.432721389932486	0.287304909050933	1.39950150918003
inflammatory	Gene0068	0.424129208178265	0.519079682684328	0.0186492716426152	1.25370874751848
inflammatory	Gene0069	1.23167408455513	0.828770471906985	0.340199730006571	2.3717301410271
inflammatory	Gene0070	1.68089786052553	0.856482547239183	0.449921051705585	2.44404443858321
inflammatory	Gene0071	2.97290533500736	0.503219645086325	2.50048367685062	3.71559759016771
inflammatory	Gene0072	0.609729580062378	0.561193318837543	0.0157510240980132	1.33705992940582
inflammatory	Gene0073	1.95843226172334	1.36200753020877	0.490689497055966	4.02827273653503
inflammatory	Gene0074	1.10578084692759	0.608354259939684	0.602320517850227	2.10124053656002
inflammatory	Gene0075	2.61983231549045	1.04901215947062	0.847142710270308	3.51614444898692
inflammatory	Gene0076	1.35135178465372	0.700556921304069	0.450647481472499	2.18529989538596
inflammatory	Gene0077	1.04902461682826	0.89153398664778	0.296921547939446	2.46771973187582
inflammatory	Gene0078	1.51274203821519	0.624092589647	0.565094699680201	2.13279173986688
inflammatory	Gene0079	0.721942364853605	0.63147684787318	0.17957656717488	1.65835768203348
inflammatory	Gene0080	1.2327608240449	0.720387462084838	0.324123697294568	2.16845442658875
inflammatory	Gene0081	1.23621741448751	0.742115240818539	0.489938615881584	2.29682661791707
inflammatory	Gene0082	0.930007197870145	0.969936133990776	0.166815459104256	2.56422083997192
inflammatory	Gene0083	0.582893259904834	0.426594939294988	0.27798059003965	1.31455097891059
inflammatory	Gene0084	0.706331823942446	0.493921820223468	0.0934739075671038	1.2484416883332
inflammatory	Gene0085	0.992297868794199	0.537867892613347	0.220072543730978	1.60597042814637
inflammatory	Gene0086	1.49678735407934	0.540619163214456	0.745355371781623	2.06254847228772
inflammatory	Gene0087	1.77853492082877	1.23240827896052	0.449775034300271	3.66398638984876
inflammatory	Gene0088	1.26096665550304	0.345390808830846	0.952647332849994	1.73958939200675
inflammatory	Gene0089	2.27799254175938	0.696639603532914	1.47242402511605	3.14414157132124
inflammatory	Gene0090	0.607156637120422	0.421338802259864	0.189462929489541	1.18576531266249
inflammatory	Gene0091	1.04652491504332	0.907034117759297	0.210795554528639	2.52418233907627
inflammatory	Gene0092	1.29956930429061	0.787022320904102	0.152763162305773	2.23297107430803
inflammatory	Gene0093	1.78496589472805	1.47613983363995	0.247962071644343	4.19173396555877
inflammatory	Gene0094	0.655196888535815	0.768874331668557	0.0418692781727254	1.9634471442756
inflammatory	Gene0095	0.744968130703919	0.304805816828157	0.427104088507905	1.16853881457918
inflammatory	Gene0096	1.82803838047756	1.24220233718425	0.260303037599104	3.69880307157148
inflammatory	Gene0097	1.3437932914864	0.550395687919904	0.578422604107605	2.10331383531826
inflammatory	Gene0098	2.42151416996475	0.957388845286388	1.52347570145135	3.91916681899497
inflammatory	Gene0099	0.849375864354892	0.615187876486702	0.331948542073819	1.86480735627659
inflammatory	Gene0100	2.33919770844998	0.935440541110381	1.34391860559308	3.80691823987922
myofibroblast	Gene0001	0.711692409898602	0.346908421938904	0.229346826314041	1.07939165417086
myofibroblast	Gene0002	0.52027529339664	0.612858065655524	0.0998336158720104	1.58186312840647
myofibroblast	Gene0003	0.958108448448323	0.634844228525728	0.217217046738124	1.7680510484995
myofibroblast	Gene0004	2.10885686966894	0.856775461676686	1.25179015006899	3.51735200155867
myofibroblast	Gene0005	0.609409976052687	0.321038180440587	0.233480548615711	0.972269621762356
myofibroblast	Gene0006	0.732173667244128	0.384356288636971	0.185083629529276	1.18990106438139
myofibroblast	Gene0007	0.9997138932545	0.651096929459266	0.594980572920105	2.13120033973708
myofibroblast	Gene0008	0.755268690068519	0.51881755554374	0.162143979311488	1.52221014167758
myofibroblast	Gene0009	1.70448604678408	1.21985469622557	0.70693433717105	3.76863150126181
myofibroblast	Gene0010	0.94837246978871	0.312486181677768	0.421783939724741	1.20715471537451
myofibroblast	Gene0011	4.09078368161287	0.732400658532814	2.93225117145928	4.93348116388528
myofibroblast	Gene0012	2.57922529165488	0.437161125574667	1.9117470333902	3.07758137602015
myofibroblast	Gene0013	4.16868126489481	0.715913764614652	3.32451040794726	5.14946855439477
myofibroblast	Gene0014	4.06229398768614	0.92661629717067	2.89532818537998	5.38418651118252
myofibroblast	Gene0015	1.18239686943052	0.594261182419505	0.615596748474544	1.83553043079198
myofibroblast	Gene0016	0.423163156201715	0.45068183399215	0.0536616408707524	1.19533728457636
myofibroblast	Gene0017	1.05442452929384	0.927210882019949	0.0578001524137378	2.3263533459442
myofibroblast	Gene0018	1.44671651718167	0.583287351539033	0.55475195566768	1.99461940344994
myofibroblast	Gene0019	0.82621703528934	0.554706667795837	0.229607608290522	1.59120772903588
myofibroblast	Gene0020	0.726745632550252	0.510368599176911	0.0891293212770125	1.46473819661998
myofibroblast	Gene0021	1.81367834373074	0.556942954115121	1.22597350945555	2.41223819263922
myofibroblast	Gene0022	1.57498837534031	0.939868092523396	0.581468546957936	2.83633152482072
myofibroblast	Gene0023	0.844577894486841	0.480385597943896	0.183118627524807	1.50180301647124
myofibroblast	Gene0024	1.39608547265842	0.732185725684449	0.350861702976323	2.12781462144921
myofibroblast	Gene0025	2.13000642122597	0.552800532488924	1.41661561096223	2.83985775976111
myofibroblast	Gene0026	0.64669322811204	0.551855007041013	0.0589858511938007	1.43951875550777
myofibroblast	Gene0027	0.900418038120773	0.688263063422654	0.0872756631968163	1.80327215013679
myofibroblast	Gene0028	1.35524974523874	0.796872064785107	0.139851992618004	2.13258980037988
myofibroblast	Gene0029	0.776021391615688	0.8507054339708	0.0475779911959992	2.18924007222122
myofibroblast	Gene0030	0.880955431293111	0.702707370371553	0.105101489942125	1.71593209773537
myofibroblast	Gene0031	1.86935473274867	0.988490859635201	0.630349067976448	2.88187987289695
myofibroblast	Gene0032	1.22450655596782	0.708396560508269	0.338597438657319	1.95843837078054
myofibroblast	Gene0033	1.2442554329881	1.08396488295248	0.304650365985938	3.0820419381435
myofibroblast	Gene0034	0.969482182901036	0.896841463200097	0.137210946324761	2.33033793856107
myofibroblast	Gene0035	1.98967796892682	0.570078759522299	1.27380484892003	2.85071527500393
myofibroblast	Gene0036	1.78243934977295	0.963070767999063	0.486280569036879	2.84442989149688
myofibroblast	Gene0037	0.963118844694844	0.514026359799136	0.424792708482652	1.6259208982943
myofibroblast	Gene0038	1.07436296436657	0.725828628924438	0.41133430579399	2.25567668131641
myofibroblast	Gene0039	2.2084128155856	0.75819244127953	0.978210681586976	2.89592212621816
myofibroblast	Gene0040	0.609778293879232	0.269969918351696	0.188596665725203	0.922847489009744
myofibroblast	Gene0041	1.87927635374259	0.622417415144336	1.21209332195168	2.82043690410181
myofibroblast	Gene0042	1.72400298135177	0.696565274746594	1.21099482100214	2.92189886452834
myofibroblast	Gene0043	1.21555870968416	0.395671826079295	0.834599649406805	1.84506364571497
myofibroblast	Gene0044	1.54440422442638	0.704960509295409	0.874033185159793	2.56902691677033
myofibroblast	Gene0045	0.584260701933231	0.421226176130221	0.0969272788225511	1.1913531947206
myofibroblast	Gene0046	0.956855977236637	0.350317244457783	0.572489889911395	1.44116302961471
myofibroblast	Gene0047	0.732578880599362	0.50948338039128	0.0629228984350245	1.36034789550062
myofibroblast	Gene0048	0.435298783804669	0.196717381701524	0.184721900603797	0.684188928986466
myofibroblast	Gene0049	0.672161458023131	0.596759815810822	0.0352195256768147	1.44007081049
myofibroblast	Gene0050	1.56219146869621	0.797914424039681	0.675282169126374	2.64663976675225
myofibroblast	Gene0051	1.55499330771083	0.712249056759977	0.775902996638595	2.5237002650298
myofibroblast	Gene0052	0.820360111591694	0.537270391369215	0.226016952623914	1.60781736429981
myofibroblast	Gene0053	2.12923571355407	0.79473851711027	1.0200393555421	3.11280303305743
myofibroblast	Gene0054	0.432361934553756	0.341296686973982	0.0529643198880779	0.964759539303321
myofibroblast	Gene0055	0.799431195905799	0.582046410280187	0.143228966961524	1.68735353788368
myofibroblast	Gene0056	0.624209112815535	0.437755873933708	0.122582307015035	1.29601397614201
myofibroblast	Gene0057	0.480034266632384	0.311319229912071	0.142842036025844	0.866052592384716
myofibroblast	Gene0058	1.31929186650707	0.673402654419054	0.470314607455672	2.31181957339837
myofibroblast	Gene0059	1.21925153778115	0.854339155559722	0.0664774981984101	2.1604393109571
myofibroblast	Gene0060	1.50793863124269	0.873200975260449	0.234590230156456	2.53058421645755
myofibroblast	Gene0061	2.22160491197969	1.1285350018521	0.622119232564422	3.40419260782889
myofibroblast	Gene0062	2.3090088738234	0.740671827108777	1.17555878969516	3.16692932970315
