scenario	replicate	method	cell_id	true_entropy	pred_entropy	entropy_abs_error	scenario_label
continuous	2	fibrodynmix_vi	Cell000084	1.24889862045463	1.44361467264643	0.194716052191798	Continuous
continuous	1	fibrodynmix_nb	Cell000046	1.33242324790218	1.4828719309663	0.150448683064117	Continuous
rare_transition	1	marker_scoring	Cell000025	1.4662460460467	1.72265730112114	0.256411255074444	Rare
continuous	1	fibrodynmix_vi	Cell000067	1.58248130825311	1.67121513587725	0.0887338276241403	Continuous
continuous	2	fibrodynmix_nb	Cell000026	1.61565723379452	1.6574893782794	0.0418321444848759	Continuous
rare_transition	1	fibrodynmix_nb	Cell000054	1.26413314149825	1.34980938144099	0.0856762399427344	Rare
rare_transition	1	fibrodynmix_nb	Cell000048	1.1278146748553	1.46472355427809	0.336908879422789	Rare
rare_transition	3	marker_scoring	Cell000092	1.51678815966682	1.76280850649344	0.246020346826626	Rare
continuous	2	marker_scoring	Cell000054	1.08632743940821	1.75077576314595	0.664448323737734	Continuous
rare_transition	2	marker_scoring	Cell000066	1.3090880770226	1.75267421003418	0.443586133011583	Rare
continuous	2	marker_scoring	Cell000072	1.55769355888584	1.75694925709687	0.199255698211025	Continuous
continuous	3	fibrodynmix_nb	Cell000014	1.19327315353203	1.13034070847201	0.0629324450600135	Continuous
rare_transition	2	marker_scoring	Cell000025	1.47579521849759	1.77718335744007	0.301388138942476	Rare
continuous	1	fibrodynmix_nb	Cell000040	1.05546176869079	1.42785046907844	0.372388700387647	Continuous
continuous	1	marker_scoring	Cell000021	1.58190175862164	1.77784811644179	0.19594635782015	Continuous
rare_transition	1	marker_scoring	Cell000104	1.36534724934941	1.76100483468763	0.395657585338222	Rare
rare_transition	2	fibrodynmix_vi	Cell000094	1.39567851750262	1.68071801665518	0.285039499152554	Rare
continuous	2	fibrodynmix_vi	Cell000055	1.54184019099941	1.64627861935101	0.104438428351597	Continuous
continuous	3	fibrodynmix_nb	Cell000036	1.57975319333814	1.51515430684893	0.0645988864892089	Continuous
continuous	1	fibrodynmix_nb	Cell000045	1.00640226076312	1.53658288906954	0.530180628306415	Continuous
continuous	3	fibrodynmix_nb	Cell000061	1.47897523398196	1.54583096645972	0.0668557324777526	Continuous
rare_transition	1	fibrodynmix_nb	Cell000026	1.27397581189151	1.49457756573579	0.22060175384428	Rare
rare_transition	3	fibrodynmix_nb	Cell000066	1.41539420045662	1.60512161978906	0.189727419332438	Rare
rare_transition	1	marker_scoring	Cell000089	1.04125931083953	1.76300095009434	0.72174163925481	Rare
continuous	2	fibrodynmix_vi	Cell000008	1.17143937325678	1.67800399013599	0.506564616879202	Continuous
rare_transition	3	marker_scoring	Cell000079	1.27178190412569	1.74602975487097	0.474247850745273	Rare
continuous	2	fibrodynmix_nb	Cell000046	1.55789887071113	1.7338238476979	0.175924976986768	Continuous
continuous	3	marker_scoring	Cell000045	0.998922405222837	1.54882320131428	0.54990079609144	Continuous
continuous	2	marker_scoring	Cell000096	1.5596956107028	1.74093531686376	0.181239706160963	Continuous
continuous	3	fibrodynmix_vi	Cell000089	1.11102706141568	1.5409896829035	0.429962621487822	Continuous
continuous	1	fibrodynmix_nb	Cell000019	1.54263012701804	1.50849312847079	0.0341369985472526	Continuous
