scenario	replicate	method	cell_id	is_transition	entropy_score	auroc	auprc	transition_class
rare_transition	2	fibrodynmix_vi	Cell000015	FALSE	1.74561661855915	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000016	FALSE	1.62926904449066	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000017	FALSE	1.66924068712442	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000018	FALSE	1.55831578628861	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000019	FALSE	1.4198527751047	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000020	FALSE	1.40261356662986	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000021	FALSE	1.58964885550654	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000022	FALSE	1.57249390819166	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000023	FALSE	1.60012850580668	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000024	FALSE	1.57946171371121	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000025	FALSE	1.57699724868058	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000026	FALSE	1.66187720740728	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000027	FALSE	1.5273638489033	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000028	FALSE	1.6724372765121	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000029	FALSE	1.30717946939903	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000030	TRUE	1.72081163127133	0.658496732026144	0.110473301708934	Rare transition
rare_transition	2	fibrodynmix_vi	Cell000031	FALSE	1.60330698550893	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000032	FALSE	1.52753989909456	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000033	FALSE	1.65972842677388	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000034	FALSE	1.59398079815301	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000035	FALSE	1.50741916817846	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000036	FALSE	1.72537361401427	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000037	FALSE	1.59076105203173	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000038	FALSE	1.57993935772117	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000039	FALSE	1.59079225227624	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000040	TRUE	1.48746459318467	0.658496732026144	0.110473301708934	Rare transition
rare_transition	2	fibrodynmix_vi	Cell000041	FALSE	1.54685015326866	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000042	FALSE	1.70859876303971	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000043	FALSE	1.33424389433402	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000044	FALSE	1.61127873390983	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000045	FALSE	1.43195686538798	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000046	FALSE	1.65254618329561	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000047	FALSE	1.50730942620861	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000048	FALSE	1.55112463341611	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000049	FALSE	1.56415136535131	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000050	FALSE	1.67977697913012	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000051	FALSE	1.57660166201602	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000052	FALSE	1.45924889379144	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000053	FALSE	1.54188508331307	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000054	FALSE	1.38030943934219	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000055	FALSE	1.45783608404655	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000056	FALSE	1.57637763689967	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000057	FALSE	1.62083263584592	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000058	FALSE	1.53841816434856	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000059	FALSE	1.31430079011085	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000060	FALSE	1.46943159542048	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000061	FALSE	1.47975494507056	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000062	FALSE	1.67149962049981	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000063	FALSE	1.75039938887005	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000064	FALSE	1.50843303364004	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000065	FALSE	1.46857884064136	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000066	TRUE	1.55615302116959	0.658496732026144	0.110473301708934	Rare transition
rare_transition	2	fibrodynmix_vi	Cell000067	FALSE	1.67334471641028	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000068	FALSE	1.6536203940021	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000069	FALSE	1.68735620549047	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000070	FALSE	1.59940624672902	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000071	FALSE	1.6934230931532	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000072	FALSE	1.25166344924686	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000073	FALSE	1.70788593004121	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000074	FALSE	1.63270628702155	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000075	FALSE	1.61248388604008	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000076	FALSE	1.57051056630706	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000077	FALSE	1.32618352115251	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000078	FALSE	1.53985952931153	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000079	FALSE	1.26388443453627	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000080	FALSE	1.65964401383699	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000081	FALSE	1.38581526347499	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000082	FALSE	1.43770427641073	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000083	FALSE	1.57005666260098	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000084	FALSE	1.60029643522063	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000085	FALSE	1.4583623391441	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000086	FALSE	1.45876336936472	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000087	FALSE	1.41940873729138	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000088	FALSE	1.63884964476573	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000089	FALSE	1.64070533545196	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000090	TRUE	1.63107811196965	0.658496732026144	0.110473301708934	Rare transition
rare_transition	2	fibrodynmix_vi	Cell000091	FALSE	1.64650836120528	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000092	FALSE	1.52211958025602	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000093	FALSE	1.376675997478	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000094	FALSE	1.68071801665518	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000095	FALSE	1.65276774907871	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000096	FALSE	1.37460724274519	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000097	FALSE	1.62592873014754	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000098	FALSE	1.69900094577158	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000099	TRUE	1.64841036466143	0.658496732026144	0.110473301708934	Rare transition
rare_transition	2	fibrodynmix_vi	Cell000100	FALSE	1.23618006665666	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000101	FALSE	1.63485670072731	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000102	FALSE	1.59749368370056	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000103	FALSE	1.49178189728604	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000104	FALSE	1.37511048262465	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000105	FALSE	1.58444222525788	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000106	FALSE	1.70280762584914	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000107	FALSE	1.73884206666497	0.658496732026144	0.110473301708934	Other cells
rare_transition	2	fibrodynmix_vi	Cell000108	FALSE	1.57963341317348	0.658496732026144	0.110473301708934	Other cells
rare_transition	3	marker_scoring	Cell000001	FALSE	1.74653423405101	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000002	FALSE	1.766467697227	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000003	FALSE	1.57315856339228	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000004	FALSE	1.77727384226407	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000005	FALSE	1.65077684106158	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000006	FALSE	1.76198292586221	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000007	FALSE	1.73825270601377	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000008	FALSE	1.77127856543956	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000009	FALSE	1.76805346147068	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000010	FALSE	1.76576523941671	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000011	FALSE	1.75062950364061	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000012	FALSE	1.78693122081513	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000013	FALSE	1.75728980549822	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000014	FALSE	1.73185867302881	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000015	FALSE	1.62397642755362	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000016	FALSE	1.75289267067123	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000017	FALSE	1.72144041760513	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000018	TRUE	1.75476170947295	0.598039215686274	0.0961160979543333	Rare transition
rare_transition	3	marker_scoring	Cell000019	FALSE	1.72207521216879	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000020	FALSE	1.76697265343666	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000021	FALSE	1.7491743363108	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000022	FALSE	1.73866582505058	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000023	FALSE	1.73730808146646	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000024	FALSE	1.74901548564512	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000025	FALSE	1.77597677419179	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000026	FALSE	1.75768432265077	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000027	FALSE	1.76797503320913	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000028	TRUE	1.74485978404189	0.598039215686274	0.0961160979543333	Rare transition
rare_transition	3	marker_scoring	Cell000029	FALSE	1.72785005538917	0.598039215686274	0.0961160979543333	Other cells
rare_transition	3	marker_scoring	Cell000030	FALSE	1.73361770188035	0.598039215686274	0.0961160979543333	Other cells
