cell_id	state	mean	sd	lower	upper
Cell000014	myofibroblast	0.33005702002866	0.102442476806712	0.17291163049667	0.520035633623305
Cell000015	myofibroblast	0.382593730611815	0.109669749453495	0.214363758478531	0.613885051079055
Cell000016	myofibroblast	0.250071186935916	0.080344368231126	0.0937047722191792	0.401167050998137
Cell000017	myofibroblast	0.0144787370677487	0.0056665680977337	0.00609575516834169	0.0258224250028477
Cell000018	myofibroblast	0.236904432703252	0.0688643453208178	0.127991419502319	0.36635406908215
Cell000019	myofibroblast	0.000531787224372633	0.000240335370654499	0.000280587610539901	0.00123582891805766
Cell000020	myofibroblast	0.270930553682346	0.0883647459549955	0.13550210235604	0.458893860429595
Cell000021	myofibroblast	0.0692471850019616	0.0221664433410076	0.0361059195776602	0.108465711863028
Cell000022	myofibroblast	0.207096502136542	0.0771952317326603	0.0885632492611745	0.366400230315252
Cell000023	myofibroblast	0.0799882176173849	0.0311160451491027	0.0412794705758491	0.14026635401466
Cell000024	myofibroblast	0.470491063628646	0.0905781444102761	0.32110976807702	0.642924809526192
Cell000025	myofibroblast	0.152143617745315	0.0541918047034811	0.0821950821712497	0.298132077293302
Cell000026	myofibroblast	0.169838243769647	0.0524127311039793	0.0890634372530614	0.307516776400529
Cell000027	myofibroblast	0.133351866650826	0.0411560811790404	0.0717404372679144	0.216956616547087
Cell000028	myofibroblast	0.29845807852544	0.0992262633965794	0.15995115013737	0.502985735829156
Cell000029	myofibroblast	0.31507385697907	0.0643275765980073	0.222055154623772	0.452894627927235
Cell000030	myofibroblast	0.275354065070234	0.0795565175068013	0.144665543374427	0.433877523106806
Cell000031	myofibroblast	0.088232628496855	0.0322413472197363	0.0426216906778134	0.155274542902345
Cell000032	myofibroblast	0.290682323665023	0.0771152173457515	0.190553498860524	0.417245573417587
Cell000001	ECM-remodeling	0.000143392702640866	5.09995670839666e-05	5.59706640590581e-05	0.00023091184976587
Cell000002	ECM-remodeling	0.142166679556888	0.0565729805854556	0.0647437867736172	0.244104873832952
Cell000003	ECM-remodeling	0.0657981965374988	0.0263429285579447	0.0383594585702582	0.138166912738951
Cell000004	ECM-remodeling	0.471753546522513	0.0793459888853289	0.337980928036317	0.650914965702434
Cell000005	ECM-remodeling	0.0333043950908927	0.016380387053082	0.0157224371210769	0.0655037269038456
Cell000006	ECM-remodeling	0.456161392518775	0.108903246948183	0.267029557417978	0.61718553391389
Cell000007	ECM-remodeling	0.0864808319031481	0.0361516012678386	0.0357361870998332	0.158506882942761
Cell000008	ECM-remodeling	0.0480458668064859	0.0158897608695238	0.0244072208581862	0.0786543972256416
Cell000009	ECM-remodeling	0.0972848003301298	0.030360939232622	0.0516750960879219	0.166943740774789
Cell000010	ECM-remodeling	0.106039304514231	0.0374033026578162	0.0478746543479339	0.17680197442106
Cell000011	ECM-remodeling	0.138241580088458	0.0517970551371415	0.0631968444067398	0.237094325780691
Cell000012	ECM-remodeling	0.0191261946630005	0.00893098640475369	0.00858838891118203	0.0355947848257191
Cell000013	ECM-remodeling	0.206579348701419	0.0689764866187123	0.095016001807601	0.350058109918505
Cell000014	ECM-remodeling	0.186673012426281	0.0705458745946669	0.0895903106695841	0.345848390806754
Cell000015	ECM-remodeling	0.00167792070134397	0.000450618915565066	0.000891854711191269	0.00244205294953871
Cell000016	ECM-remodeling	0.194936610612032	0.062800511017275	0.0939066210066275	0.310467648033137
Cell000017	ECM-remodeling	0.29295840385797	0.0989038771774132	0.124134981953108	0.481198990865493
Cell000018	ECM-remodeling	0.0248642805459272	0.00938111292964779	0.0129196942297054	0.0433410220168112
Cell000019	ECM-remodeling	0.10922757356878	0.0508296163104004	0.0366634860202278	0.222322076826053
Cell000020	ECM-remodeling	0.0237435882963541	0.0097454595632949	0.00912660506160493	0.0491683220668773
Cell000021	ECM-remodeling	0.292673693728406	0.0920594028683107	0.136721175056258	0.462079845849848
Cell000022	ECM-remodeling	0.0413871505358086	0.0157847656897818	0.0214023591204582	0.0757705631767307
Cell000023	ECM-remodeling	0.000509837148328855	0.00023298386953403	0.000249366585763709	0.000958421122147924
Cell000024	ECM-remodeling	0.00120793629384891	0.000522018140484918	0.000463462079004691	0.00249326872452495
Cell000025	ECM-remodeling	0.122071878016706	0.0476381533838701	0.0660779010224295	0.210202669136953
Cell000026	ECM-remodeling	0.10247530032025	0.0332823563090046	0.039523051060611	0.168092163863094
Cell000027	ECM-remodeling	0.199213521638358	0.0590283508139966	0.135464008391517	0.33505688658339
Cell000028	ECM-remodeling	0.00204292748158	0.000830534692027289	0.00102049983958477	0.00381487627486374
Cell000029	ECM-remodeling	0.0348377711907159	0.0135353508185268	0.0179548547823271	0.0570748015692388
Cell000030	ECM-remodeling	0.21181126866264	0.0742149048301471	0.0998471294083769	0.361149148296581
Cell000031	ECM-remodeling	0.00116056593552234	0.000535866682792977	0.000459485761349659	0.00213990599334939
Cell000032	ECM-remodeling	0.323675747242661	0.0866466969482835	0.170505209377091	0.469378693151063
Cell000001	antigen-presenting	0.368891401143781	0.110302808392575	0.19970504359418	0.573235237923892
Cell000002	antigen-presenting	0.000470049384717861	0.000232595583105759	0.000192929054103825	0.00093818250358581
Cell000003	antigen-presenting	0.106297166859453	0.0320042746333185	0.057389694512141	0.157550761089485
Cell000004	antigen-presenting	0.108481662495482	0.040843802986262	0.0464992128385258	0.192220624588651
Cell000005	antigen-presenting	0.454253145095456	0.0980419646693305	0.28959709195016	0.613393143204447
Cell000006	antigen-presenting	0.000828610380924736	0.000355415321499627	0.000296285496723212	0.00163452512309175
Cell000007	antigen-presenting	0.227923459614378	0.0731121778648284	0.122208547642858	0.396112464018581
Cell000008	antigen-presenting	0.0829459880093341	0.0278475320143623	0.040114373126734	0.127443145281369
Cell000009	antigen-presenting	0.000796824177182056	0.000350350034998526	0.000455690609180287	0.00199904837564076
Cell000010	antigen-presenting	0.26965490974498	0.0789092170652233	0.167756251262517	0.408621298341997
Cell000011	antigen-presenting	0.255121650856422	0.0853010250072464	0.151801709545371	0.479114165461093
Cell000012	antigen-presenting	0.110479339746407	0.0393362321051591	0.0600547622366166	0.186528251304402
Cell000013	antigen-presenting	0.465916024063129	0.084201495524509	0.282815250003304	0.595344943010416
Cell000014	antigen-presenting	0.0622955992935088	0.0278172780386366	0.0313676244443452	0.131075419479236
Cell000015	antigen-presenting	0.00105132565844006	0.000508062999590673	0.000350275776976137	0.00203549624074588
Cell000016	antigen-presenting	0.0912747333209438	0.0272642601662744	0.0520299353534277	0.135449848950787
Cell000017	antigen-presenting	0.13456206954311	0.0445582823219982	0.0764759560963625	0.216872604397179
Cell000018	antigen-presenting	0.340416564959961	0.0897144584588122	0.173927529547915	0.484197282537105
Cell000019	antigen-presenting	0.000956110087380082	0.000364625790310995	0.000494124493075629	0.00211746618430094
Cell000020	antigen-presenting	0.327212709131999	0.087557546824098	0.206991052857308	0.485686484986231
Cell000021	antigen-presenting	0.0366878232358764	0.0143358094947243	0.0174961706870074	0.0727581506305965
Cell000022	antigen-presenting	0.047965930155526	0.0233932862779719	0.0182378524450317	0.0993716121924244
