dataset_id	study_id	donor_id	condition	organism	tissue	state	composition	mean_entropy	sensitivity_mode	seed
gse246215_nsclc_raw_sample_seed246216	GSE246215_NSCLC_raw_sample	GSE246215_NSCLC_multi_patient	disease	Homo sapiens	Non-small-cell lung cancer (NSCLC)	IFN-stress	0.0516182187728352	0.687487105864235	raw_sample	246216
gse246215_tnbc_raw_sample_seed246216	GSE246215_TNBC_raw_sample	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	resident	0.282241175615284	1.05489727379721	raw_sample	246216
gse246215_tnbc_raw_sample_seed246216	GSE246215_TNBC_raw_sample	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	inflammatory	0.161526093760851	1.05489727379721	raw_sample	246216
gse246215_tnbc_raw_sample_seed246216	GSE246215_TNBC_raw_sample	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	myofibroblast	0.203020940026705	1.05489727379721	raw_sample	246216
gse246215_tnbc_raw_sample_seed246216	GSE246215_TNBC_raw_sample	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	ECM-remodeling	0.231181966204877	1.05489727379721	raw_sample	246216
gse246215_tnbc_raw_sample_seed246216	GSE246215_TNBC_raw_sample	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	antigen-presenting	0.0427204266455681	1.05489727379721	raw_sample	246216
gse246215_tnbc_raw_sample_seed246216	GSE246215_TNBC_raw_sample	GSE246215_TNBC_multi_patient	disease	Homo sapiens	Triple-negative breast cancer (TNBC)	IFN-stress	0.0793093977467145	1.05489727379721	raw_sample	246216
gse246215_gc_library_trim_q95_seed246215	GSE246215_GC_library_trim_q95	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	resident	0.188678104279637	1.13534663990073	library_trim_q95	246215
gse246215_gc_library_trim_q95_seed246215	GSE246215_GC_library_trim_q95	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	inflammatory	0.0756590596487488	1.13534663990073	library_trim_q95	246215
gse246215_gc_library_trim_q95_seed246215	GSE246215_GC_library_trim_q95	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	myofibroblast	0.251730614782851	1.13534663990073	library_trim_q95	246215
gse246215_gc_library_trim_q95_seed246215	GSE246215_GC_library_trim_q95	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	ECM-remodeling	0.319583603946138	1.13534663990073	library_trim_q95	246215
gse246215_gc_library_trim_q95_seed246215	GSE246215_GC_library_trim_q95	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	antigen-presenting	0.119261833302591	1.13534663990073	library_trim_q95	246215
gse246215_gc_library_trim_q95_seed246215	GSE246215_GC_library_trim_q95	GSE246215_GC_multi_patient	disease	Homo sapiens	Gastric cancer (GC)	IFN-stress	0.0450867840400346	1.13534663990073	library_trim_q95	246215
gse246215_hcc_library_trim_q95_seed246215	GSE246215_HCC_library_trim_q95	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	resident	0.0470913441032677	0.2759142999593	library_trim_q95	246215
gse246215_hcc_library_trim_q95_seed246215	GSE246215_HCC_library_trim_q95	GSE246215_HCC_multi_patient	disease	Homo sapiens	Hepatocellular carcinoma (HCC)	inflammatory	0.00595942654922745	0.2759142999593	library_trim_q95	246215
