state	gene	rank	spearman_rho	dataset
resident	KRT14	34	0.128035666672369	GSE243716
resident	FGF7	35	0.126724609792975	GSE243716
resident	MT2A	36	0.125644090102493	GSE243716
resident	AQP1	37	0.125283770924524	GSE243716
resident	ITGA6	38	0.121497142403233	GSE243716
resident	SFN	39	0.121025812766855	GSE243716
resident	FMO3	40	0.120576865920911	GSE243716
inflammatory	TM4SF1	1	0.423773131871989	GSE243716
inflammatory	CD9	2	0.380918841171923	GSE243716
inflammatory	ITGA6	3	0.377848592262334	GSE243716
inflammatory	PECAM1	4	0.376508540459344	GSE243716
inflammatory	CLDN5	5	0.375364202042945	GSE243716
inflammatory	CDH5	6	0.375070948566146	GSE243716
inflammatory	EFNA1	7	0.374414819820235	GSE243716
inflammatory	MCAM	8	0.372406895806409	GSE243716
inflammatory	PLVAP	9	0.370830940414501	GSE243716
inflammatory	RAMP2	10	0.369212410531823	GSE243716
inflammatory	CALCRL	11	0.368158608739287	GSE243716
inflammatory	ADGRL4	12	0.359312795678019	GSE243716
inflammatory	SOCS3	13	0.356584514458847	GSE243716
inflammatory	EGFL7	14	0.35654947681607	GSE243716
inflammatory	BTG2	15	0.354760751931926	GSE243716
inflammatory	CD34	16	0.354529892166427	GSE243716
inflammatory	EMCN	17	0.353505888784291	GSE243716
inflammatory	HES1	18	0.351189051597791	GSE243716
inflammatory	SOX18	19	0.347758891367065	GSE243716
inflammatory	CLEC14A	20	0.33965133148054	GSE243716
inflammatory	SOX7	21	0.339548308826493	GSE243716
inflammatory	COL4A1	22	0.336868846746058	GSE243716
inflammatory	CCL14	23	0.33071512573777	GSE243716
inflammatory	SPRY1	24	0.330680070244548	GSE243716
inflammatory	FLT1	25	0.329729267334914	GSE243716
inflammatory	GATA2	26	0.327164569881705	GSE243716
inflammatory	VWF	27	0.326543603680071	GSE243716
inflammatory	PCDH17	28	0.326234778957869	GSE243716
inflammatory	EFNB2	29	0.324739193530798	GSE243716
inflammatory	ETS2	30	0.323969537222523	GSE243716
inflammatory	CD93	31	0.32150949617922	GSE243716
inflammatory	PTPRB	32	0.317894773972166	GSE243716
inflammatory	THBD	33	0.316762066837673	GSE243716
inflammatory	PODXL	34	0.314175228887715	GSE243716
inflammatory	ANGPT2	35	0.313781450600023	GSE243716
inflammatory	RBP7	36	0.313079177413895	GSE243716
inflammatory	KLF2	37	0.311689543449403	GSE243716
inflammatory	COL15A1	38	0.309857499050166	GSE243716
inflammatory	TCIM	39	0.306020228111757	GSE243716
inflammatory	CDKN1A	40	0.304765948741138	GSE243716
myofibroblast	RGS5	1	0.656486620566043	GSE243716
myofibroblast	NDUFA4L2	2	0.647317613821943	GSE243716
myofibroblast	COL4A1	3	0.601534924149466	GSE243716
myofibroblast	MCAM	4	0.593217141542631	GSE243716
myofibroblast	CCDC102B	5	0.591154637826399	GSE243716
myofibroblast	CDH6	6	0.581155194957894	GSE243716
myofibroblast	ABCC9	7	0.565418677704233	GSE243716
myofibroblast	STEAP4	8	0.559054362544484	GSE243716
myofibroblast	COX4I2	9	0.555778845034152	GSE243716
myofibroblast	SYNPO2	10	0.543089426020468	GSE243716
myofibroblast	HIGD1B	11	0.539868848243353	GSE243716
myofibroblast	MYL9	12	0.503708767014275	GSE243716
myofibroblast	PPP1R14A	13	0.499158693972618	GSE243716
myofibroblast	PDGFA	14	0.495722288559324	GSE243716
myofibroblast	FMO3	15	0.472426563948155	GSE243716
myofibroblast	PDGFRB	16	0.463799093337916	GSE243716
myofibroblast	ACTA2	17	0.461802825775234	GSE243716
myofibroblast	TPPP3	18	0.455540273881001	GSE243716
myofibroblast	ANGPT2	19	0.445124154694283	GSE243716
myofibroblast	TIMP1	20	0.42854644237344	GSE243716
myofibroblast	AVPR1A	21	0.421872123783906	GSE243716
myofibroblast	SOD3	22	0.421571595811313	GSE243716
myofibroblast	CARMN	23	0.415830904954693	GSE243716
myofibroblast	MT2A	24	0.410689252451936	GSE243716
myofibroblast	TPM2	25	0.407848933589835	GSE243716
myofibroblast	TAGLN	26	0.393236025361186	GSE243716
myofibroblast	APOE	27	0.386261381433814	GSE243716
myofibroblast	PGF	28	0.381038407966687	GSE243716
myofibroblast	MYH11	29	0.371650628671223	GSE243716
myofibroblast	MUSTN1	30	0.364277649568616	GSE243716
myofibroblast	GPM6B	31	0.363171443861182	GSE243716
myofibroblast	FTH1	32	0.34851023781774	GSE243716
myofibroblast	GJA4	33	0.346201189067334	GSE243716
myofibroblast	SSTR2	34	0.343471552446168	GSE243716
myofibroblast	IGFBP2	35	0.334423458356778	GSE243716
myofibroblast	CCND1	36	0.329271823217145	GSE243716
myofibroblast	TCIM	37	0.319868300991535	GSE243716
myofibroblast	SELENOP	38	0.314470340282376	GSE243716
myofibroblast	ADAP2	39	0.296635688637109	GSE243716
